520312117,883,3791,58,8312,56703
315832030,4689,710,64,0,59161
232415620,187,328,0,1203,4774
16334281,83125,1245,1920,3186,150699
7.74E+17,42,250,0,1604,5786
1251207379,262,678,1,12058,1544
130094332,29,40,0,749,321
1240162124,165,23,12,0,5899
28153797,7067,4835,92,1293,4575
16334281,83125,1245,1920,3186,150699
1.01E+18,6,200,0,13,8
37560309,350,171,1,4557,9759
460647806,225,251,0,11295,1089
446705287,343,238,0,4847,6191
2525597799,872,625,17,10304,28052
1342798508,264,218,2,100,1119
2182728104,381,87,10,38028,27872
292000814,2136,952,20,30,105115
138925333,24140,12494,212,4950,6794
2280528821,856,946,4,11606,12651
1564943035,522,336,4,11332,8199
184892971,1711,1888,27,113320,81720
296241628,561,864,0,421,1182
9.40E+17,10,72,0,4633,127
168434534,178,118,24,9880,5100
8.68E+17,86,78,1,1708,448
2280528821,856,946,4,11606,12651
1933031706,53,38,1,206,1046
7.81E+17,822,980,13,686,2218
2713796591,657,1342,2,11262,3469
8.87E+17,64,22,3,6,104304
9.93E+17,819,1142,0,4201,4278
1.01E+18,1,5,0,17,178
469136624,232,384,2,20547,38119
3415862159,10650,5671,7,50399,31271
8.87E+17,64,22,3,6,104304
1.00E+18,5,14,0,45,99
221480999,1119,873,2,199,48327
292000814,2136,952,20,30,105115
2215752356,65,60,7,75242,49837
3288667588,8,23,0,109,22
292000814,2136,952,20,30,105115
230842577,169,1724,8,16368,4082
292000814,2136,952,20,30,105115
8.87E+17,64,22,3,6,104304
2568284941,329,980,3,32703,34859
181011756,2415,799,76,6281,376589
8.87E+17,64,22,3,6,104304
549214973,3501,2725,1,9051,10351
2553361135,168,224,1,584,8649
2227543675,481,444,7,51054,8285
7.09E+17,6220,546,34,42326,1921
3327023715,2333,2412,0,7223,3269
2922278671,218,256,1,107,2152
898988300,66,249,0,547,2848
8.87E+17,64,22,3,6,104304
1.01E+18,21,58,0,95,100
1.00E+18,3,35,0,161,63
292000814,2136,952,20,30,105115
76058451,111,333,2,2704,7336
1110320342,821,1025,1,7983,10765
1594101133,1914,2132,4,59062,47141
8.75E+17,99,32,1,5443,2865
1594101133,1914,2132,4,59062,47141
9.60E+17,1736,4936,4,10343,9531
9.60E+17,1736,4936,4,10343,9531
17446621,2897064,2781,20850,763,328168
344236872,1945,265,55,677,2815
22209094,73,249,1,132,1160
133627135,740,1186,188,28138,104590
1110320342,821,1025,1,7983,10765
109039756,211,178,1,297,19314
540405511,18160,19910,173,7046,103714
7.30E+17,28,104,0,2899,2074
9.52E+17,6411,6424,8,27115,26226
7.96E+17,3290,2358,5,73370,46148
1594101133,1914,2132,4,59062,47141
9.60E+17,1736,4936,4,10343,9531
